City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
627,Komsomolskiy,UZ,77.0,clear sky,40.43,71.72,Ikathouse
629,Sorong,ID,82.33,light rain,-0.88,131.25,The Waigo Hotel
631,Yarada,IN,86.0,mist,17.65,83.27,"D-26/2, Dolphin Hill,"
635,Netivot,IL,82.99,clear sky,31.42,34.59,Catering Gato - kosher catering Dairy
638,Ewa Beach,US,86.0,overcast clouds,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
643,Wuwei,CN,77.68,overcast clouds,37.93,102.64,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
644,Stillwater,US,80.6,clear sky,36.12,-97.06,Hampton Inn & Suites Stillwater
646,Marrakesh,MA,77.0,clear sky,31.63,-8.01,Les Jardins de La Koutoubia
651,Hami,CN,80.8,clear sky,42.8,93.45,Laoyutang Resort
652,Guayaramerin,BO,79.27,few clouds,-10.84,-65.36,Hostal FÜNF
654,Kotturu,IN,80.26,few clouds,14.82,76.22,MYDUR SHANTHAMMA LAYOUT
666,Padampur,IN,87.21,few clouds,29.68,73.62,Platinum resort
670,Brigantine,US,77.0,scattered clouds,39.41,-74.36,Legacy Vacation Resort Brigantine Beach
674,Dingle,PH,89.02,light rain,11.0,122.67,Camp Pasica
679,Urumqi,CN,80.01,clear sky,43.8,87.6,Hua Ling Grand Hotel Urumqi
